Person,B_bw2,B_bw5,B_bw20,B_bw50,B_bw100,Time_approach_B_bw2,Time_approach_B_bw5,Time_approach_B_bw20,Time_approach_B_bw50,Time_approach_B_bw100,Time_interaction_B_bw2,Time_interaction_B_bw5,Time_interaction_B_bw20,Time_interaction_B_bw50,Time_interaction_B_bw100
1,"[0.46503423699161217, 0.024418170456338654, 0.12045946592035561, 0.9996609119366279, 0.006087959328513387, 0.023790707291700266, -0.008660262340395634]","[0.46120421061621225, 0.02953210959160878, 0.12390088313317099, 0.9999401073838478, 0.005907868242094773, -0.006281231970977866, -0.006739796950952214]","[0.4445400611634325, 0.03613256073035737, 0.13134825059736596, 0.9995352582234179, 0.029272817998582917, -0.006234277633994394, -0.005788218814930612]","[0.4627246407249182, 0.0475715104773903, 0.13003665785685664, 0.9995097589075943, 0.029740035035058978, 0.005847631896644185, -0.007847124683437937]","[0.49498990075237154, 0.014842486502690674, 0.10769369153727401, 0.9998233526395987, -0.011072777750184202, -0.01403830451345816, -0.005795094114425707]",12.318204402923584,8.43329906463623,8.384050607681274,5.363531112670898,9.120197772979736,17.264894485473633,19.13322424888611,16.43684196472168,25.76201343536377,11.97939658164978
2,"[0.4853814292744427, 0.02443217661294646, 0.10907170511163057, 0.998753685539716, 0.03675170359231022, -0.021190212912461568, -0.026293778363363825]","[0.4965116521805846, 0.015226921192220461, 0.12736060177796674, 0.9982243784874879, 0.04440695766864235, -0.009127083641658523, -0.03863688196635344]","[0.5049615024839015, 0.007660601156513984, 0.10731877727965299, 0.999050043291867, 0.019409506597719815, -0.03056106986353028, -0.024254959512401274]","[0.4560657866827564, 0.049791805727288745, 0.1345638841864958, 0.9979947548709321, 0.05426192442520957, -0.029387861931861783, -0.014087809583281576]","[0.49800454248609477, 0.009878866940559556, 0.10030709331959725, 0.9964727500729779, 0.08227203321191602, -0.00959208704680207, -0.013467099883066857]",12.95227074623108,10.75113606452942,13.24371600151062,11.427581787109377,10.448068618774414,10.546175241470335,6.561045169830322,14.961878776550291,11.278501272201538,3.760155200958252
3,"[0.4923696521522955, 0.007461851908317439, 0.09899671960879601, 0.9985986477894371, 0.015784982875657477, 0.012202600551001228, -0.049017053037852705]","[0.4620519056487036, 0.04068986905122373, 0.13190523911596036, 0.9987613977518859, 0.012121629553212068, 0.02652243251009442, -0.04031497279450074]","[0.4921981724255919, 0.016061472937679712, 0.11156132353436139, 0.9985495860360587, -0.024819854733344755, -1.9239914232523965e-05, -0.047777595879837285]","[0.49163086048509125, 0.018233501663620522, 0.10677763589381448, 0.998585385875213, 0.0006667696175484358, -0.014804873651907498, -0.05106464776026832]","[0.5138358858387633, -0.004772441948986548, 0.08875182859335276, 0.9987076783871354, -0.019086845258775027, 0.008185291925724559, -0.04638605894809793]",20.76046776771545,14.871288537979126,9.947803497314451,8.667024612426758,11.05483889579773,12.367204189300535,16.373633861541748,16.084957599639893,39.880279302597046,9.796568870544434
4,"[0.500471758421027, 0.024326289891718148, 0.10096790088826989, 0.9960561015614922, -0.022829634100625572, -0.0818563533643095, -0.025506621941200444]","[0.5312348429690665, -0.012214378744031376, 0.08276327882627345, 0.9971194420643482, -0.05960473434251555, -0.040307841364560296, -0.023986909466841403]","[0.5150030589641034, 0.012339732723300204, 0.10054971441434318, 0.9942754529469389, -0.0320571339345142, -0.09886663715994835, -0.024780070374138253]","[0.5117166476660062, 0.0030898443394082186, 0.09734232759543504, 0.9962244949513251, -0.05479757629249806, -0.0629582174857601, -0.023879785226434285]","[0.5104627651324102, 0.010402972090154039, 0.09835322370543513, 0.9978383226875422, -0.035876207489189474, -0.049113274049552444, -0.02488907038116441]",13.063364505767822,12.080907583236694,13.159319877624512,9.82323956489563,13.035882711410522,24.228691577911377,26.96661114692688,24.031733751297,15.440523624420166,10.33759593963623
5,"[0.49606353885477933, -0.003870148662989364, 0.12790347541520225, 0.9995764325701033, 0.014082501415257697, 0.022394798407838718, -0.012128957440252323]","[0.49299002952913606, 0.0137531861871135, 0.13179973472199874, 0.9998478212374835, 0.0005069820335631968, -0.006565579629764579, -0.016154581393530085]","[0.503256080569562, 0.024984025392737832, 0.11611583686213311, 0.9997915045655653, 0.0010828375344342082, 0.011355082633257173, -0.016936261682825828]","[0.5066500854625485, 0.00205066660699771, 0.09787152338746924, 0.999112470850406, 0.03960645611238023, 0.0037282468272078146, -0.013845555279952829]","[0.48655604923351997, 0.013435791290637832, 0.11901488551491213, 0.9995790203415502, -0.007876371815343503, 0.020595613192847858, -0.018856446570433373]",8.790061712265015,9.345467329025269,12.15048599243164,6.650870800018311,6.335456132888794,26.44160032272339,10.624740600585938,8.992438554763794,6.1113646030426025,6.0559937953948975
6,"[0.5000104533194426, 0.0102081451432972, 0.09837973956597668, 0.9970250336399398, -0.06485600171921646, -0.021513826657001862, -0.03566422014914364]","[0.4981700498749507, 0.01607079693599186, 0.09793395776742607, 0.9971368589492502, -0.04305367004564446, -0.048396379736264296, -0.03901610499328758]","[0.5044941500378136, 0.016460459920841036, 0.09650655357738877, 0.9977423315489593, -0.037174044509138186, -0.03752761684125819, -0.04147298185921686]","[0.5022896213012404, 0.016542462812537104, 0.09760109665113366, 0.9984857623671921, -0.016819132080443434, -0.03241617814290172, -0.04113988989624847]","[0.5037737285598174, 0.012540330333492921, 0.09803909632274932, 0.9985134153380925, -0.035158296231789087, -0.019563978801429148, -0.036770971287050196]",14.98501706123352,15.340556621551514,11.024152994155884,10.690383434295654,6.426960229873657,5.7411699295043945,8.982879161834717,8.452075481414795,12.262970447540283,9.599849224090576
7,"[0.4823966972784936, 0.0314002833692922, 0.0972538129857589, 0.9961907746183597, -0.002083804835471054, -0.08177248690862139, -0.03021355171871536]","[0.48977765724035227, 0.03038718322168249, 0.09052832913850971, 0.997581616584, -0.005103308711104673, -0.061347240747278826, -0.032270583300396775]","[0.4999918568319245, 0.027731576659249836, 0.09789428440225606, 0.9970795841723483, -0.024685411653510122, -0.06387230863991285, -0.03381214969801953]","[0.5013970963296587, 0.029899290625531965, 0.09194106311036494, 0.9993895904922483, -0.005685227175893933, -0.017589446755440555, -0.02964348107986244]","[0.49785030816835996, 0.02237882800616444, 0.0924510798300384, 0.9958700856117734, -0.06411599775215633, -0.04502826483857048, -0.045873377698531136]",9.694369792938232,9.509514570236206,7.14725399017334,8.83107876777649,7.569464206695557,11.469509363174438,16.888338565826416,14.072428464889526,3.4488425254821777,4.998978614807129
8,"[0.4823966972784936, 0.0314002833692922, 0.0972538129857589, 0.9961907746183597, -0.002083804835471054, -0.08177248690862139, -0.03021355171871536]","[0.48977765724035227, 0.03038718322168249, 0.09052832913850971, 0.997581616584, -0.005103308711104673, -0.061347240747278826, -0.032270583300396775]","[0.4999918568319245, 0.027731576659249836, 0.09789428440225606, 0.9970795841723483, -0.024685411653510122, -0.06387230863991285, -0.03381214969801953]","[0.5013970963296587, 0.029899290625531965, 0.09194106311036494, 0.9993895904922483, -0.005685227175893933, -0.017589446755440555, -0.02964348107986244]","[0.49785030816835996, 0.02237882800616444, 0.0924510798300384, 0.9958700856117734, -0.06411599775215633, -0.04502826483857048, -0.045873377698531136]",9.694369792938232,9.509514570236206,7.14725399017334,8.83107876777649,7.569464206695557,11.469509363174438,16.888338565826416,14.072428464889526,3.4488425254821777,4.998978614807129
9,"[0.5116415735665103, 0.006800568455764281, 0.09278314238798449, 0.9984003755384208, -0.028858008365815827, 0.0483310044613213, -0.005293343523576608]","[0.5003702322050494, 0.0235606800287168, 0.10128035601259511, 0.9992917540653214, -0.018702452414926005, -0.032417851152366964, -0.0039104293093516875]","[0.4817528671665015, 0.02645906018521378, 0.09241955158760552, 0.9993518044415268, -0.02424852740051771, 0.025683063017665472, -0.006954146417879158]","[0.46439187130568227, 0.04352842962299689, 0.11717821046995319, 0.9998809385128843, -0.01449016332269804, 0.0014065366347790107, -0.005115234126645065]","[0.4864599083501405, 0.026672613451436667, 0.10508931268500482, 0.9995881058493754, -0.02414861801670695, -0.015188374561514765, -0.0031266868279829995]",10.38261890411377,9.778546333312988,6.473778963088989,7.5847742557525635,6.790596008300781,50.718557596206665,13.949280023574827,54.49945878982544,10.79060196876526,5.863528251647949
10,"[0.5180260590942847, -0.004412608094104573, 0.10020711785436312, 0.9996046363213895, 0.014113570873910408, 0.02422682636837704, -0.0021069043847012437]","[0.4691419137914346, 0.018400124883864593, 0.10186180225610565, 0.9992746536666823, 0.021523271671197552, -0.031284943495157626, -0.00285790594746897]","[0.472123628671758, 0.03577758556143453, 0.10444599357727243, 0.9985842353046446, -0.0059600798195850666, -0.052699094083310125, -0.004099747843565373]","[0.508329869670969, 0.004748322813740498, 0.0913608642196158, 0.9992404411067126, -0.00200982729543431, 0.038189298873430415, -0.00748858482362203]","[0.5128790047984593, 0.01186102126877161, 0.09052546166269052, 0.995473445865589, 0.021038773415027884, -0.09215533788718416, -0.009868246479511112]",7.828957080841064,17.40134286880493,7.809606313705444,6.489197015762329,9.791589260101318,27.75149726867676,16.059259176254272,23.28902578353882,9.937964916229248,4.5799643993377686
